datetime,tanggal,jam,magnitude,kedalaman_km,lintang,bujur,wilayah,potensi_tsunami
2026-06-07 02:00:00,07 Jun 2026,10,7.7,17,-3.69,118.82,Simulasi Drift Data,1
2026-06-07 04:00:00,07 Jun 2026,19,7.8,28,-6.84,102.45,Simulasi Drift Data,1
2026-06-07 06:00:00,07 Jun 2026,18,6.4,16,5.28,101.74,Simulasi Drift Data,1
2026-06-07 08:00:00,07 Jun 2026,8,7.9,12,-4.34,128.68,Simulasi Drift Data,1
2026-06-07 10:00:00,07 Jun 2026,3,6.5,20,1.24,131.07,Simulasi Drift Data,1
2026-06-07 12:00:00,07 Jun 2026,13,6.3,17,-8.18,114.37,Simulasi Drift Data,1
2026-06-07 14:00:00,07 Jun 2026,21,7.3,11,5.39,120.0,Simulasi Drift Data,1
2026-06-07 16:00:00,07 Jun 2026,21,6.1,6,-8.64,116.19,Simulasi Drift Data,1
2026-06-07 18:00:00,07 Jun 2026,9,7.6,5,3.88,114.32,Simulasi Drift Data,1
2026-06-07 20:00:00,07 Jun 2026,12,6.3,10,-10.75,133.03,Simulasi Drift Data,1
2026-06-07 22:00:00,07 Jun 2026,4,6.2,8,-5.61,113.24,Simulasi Drift Data,1
2026-06-08 00:00:00,08 Jun 2026,1,7.6,9,-2.91,126.11,Simulasi Drift Data,1
2026-06-08 02:00:00,08 Jun 2026,13,7.9,28,1.18,97.69,Simulasi Drift Data,1
2026-06-08 04:00:00,08 Jun 2026,11,7.5,25,0.86,100.73,Simulasi Drift Data,1
2026-06-08 06:00:00,08 Jun 2026,11,7.6,21,-6.29,105.61,Simulasi Drift Data,1
2026-06-08 08:00:00,08 Jun 2026,12,7.9,15,-9.73,122.74,Simulasi Drift Data,1
2026-06-08 10:00:00,08 Jun 2026,4,6.8,13,-9.35,113.86,Simulasi Drift Data,1
2026-06-08 12:00:00,08 Jun 2026,9,6.6,25,-11.0,128.34,Simulasi Drift Data,1
2026-06-08 14:00:00,08 Jun 2026,23,7.4,11,2.0,105.92,Simulasi Drift Data,1
2026-06-08 16:00:00,08 Jun 2026,22,7.3,29,-8.69,139.58,Simulasi Drift Data,1
2026-06-08 18:00:00,08 Jun 2026,5,7.4,25,2.85,122.61,Simulasi Drift Data,1
2026-06-08 20:00:00,08 Jun 2026,23,7.4,24,-6.29,136.19,Simulasi Drift Data,1
2026-06-08 22:00:00,08 Jun 2026,10,7.4,11,-8.01,100.85,Simulasi Drift Data,1
2026-06-09 00:00:00,09 Jun 2026,5,6.4,7,-3.11,106.33,Simulasi Drift Data,1
2026-06-09 02:00:00,09 Jun 2026,0,6.2,12,1.54,116.98,Simulasi Drift Data,1
2026-06-09 04:00:00,09 Jun 2026,3,7.0,29,3.4,121.94,Simulasi Drift Data,1
2026-06-09 06:00:00,09 Jun 2026,7,7.9,6,-2.14,125.51,Simulasi Drift Data,1
